decode_head.psp_modules.2.1.bn.weight	torch.Size([1024])
decode_head.psp_modules.2.1.bn.bias	torch.Size([1024])
decode_head.psp_modules.2.1.bn.running_mean	torch.Size([1024])
decode_head.psp_modules.2.1.bn.running_var	torch.Size([1024])
decode_head.psp_modules.2.1.bn.num_batches_tracked	torch.Size([])
decode_head.psp_modules.3.1.conv.weight	torch.Size([1024, 1024, 1, 1])
decode_head.psp_modules.3.1.bn.weight	torch.Size([1024])
decode_head.psp_modules.3.1.bn.bias	torch.Size([1024])
decode_head.psp_modules.3.1.bn.running_mean	torch.Size([1024])
decode_head.psp_modules.3.1.bn.running_var	torch.Size([1024])
decode_head.psp_modules.3.1.bn.num_batches_tracked	torch.Size([])
decode_head.bottleneck.conv.weight	torch.Size([1024, 5120, 3, 3])
decode_head.bottleneck.bn.weight	torch.Size([1024])
decode_head.bottleneck.bn.bias	torch.Size([1024])
decode_head.bottleneck.bn.running_mean	torch.Size([1024])
decode_head.bottleneck.bn.running_var	torch.Size([1024])
decode_head.bottleneck.bn.num_batches_tracked	torch.Size([])
decode_head.lateral_convs.0.conv.weight	torch.Size([1024, 1024, 1, 1])
decode_head.lateral_convs.0.bn.weight	torch.Size([1024])
decode_head.lateral_convs.0.bn.bias	torch.Size([1024])
decode_head.lateral_convs.0.bn.running_mean	torch.Size([1024])
decode_head.lateral_convs.0.bn.running_var	torch.Size([1024])
decode_head.lateral_convs.0.bn.num_batches_tracked	torch.Size([])
decode_head.lateral_convs.1.conv.weight	torch.Size([1024, 1024, 1, 1])
decode_head.lateral_convs.1.bn.weight	torch.Size([1024])
decode_head.lateral_convs.1.bn.bias	torch.Size([1024])
decode_head.lateral_convs.1.bn.running_mean	torch.Size([1024])
decode_head.lateral_convs.1.bn.running_var	torch.Size([1024])
decode_head.lateral_convs.1.bn.num_batches_tracked	torch.Size([])
decode_head.lateral_convs.2.conv.weight	torch.Size([1024, 1024, 1, 1])
decode_head.lateral_convs.2.bn.weight	torch.Size([1024])
decode_head.lateral_convs.2.bn.bias	torch.Size([1024])
decode_head.lateral_convs.2.bn.running_mean	torch.Size([1024])
decode_head.lateral_convs.2.bn.running_var	torch.Size([1024])
decode_head.lateral_convs.2.bn.num_batches_tracked	torch.Size([])
decode_head.fpn_convs.0.conv.weight	torch.Size([1024, 1024, 3, 3])
decode_head.fpn_convs.0.bn.weight	torch.Size([1024])
decode_head.fpn_convs.0.bn.bias	torch.Size([1024])
decode_head.fpn_convs.0.bn.running_mean	torch.Size([1024])
decode_head.fpn_convs.0.bn.running_var	torch.Size([1024])
decode_head.fpn_convs.0.bn.num_batches_tracked	torch.Size([])
decode_head.fpn_convs.1.conv.weight	torch.Size([1024, 1024, 3, 3])
decode_head.fpn_convs.1.bn.weight	torch.Size([1024])
decode_head.fpn_convs.1.bn.bias	torch.Size([1024])
decode_head.fpn_convs.1.bn.running_mean	torch.Size([1024])
decode_head.fpn_convs.1.bn.running_var	torch.Size([1024])
decode_head.fpn_convs.1.bn.num_batches_tracked	torch.Size([])
